knm_05927_01699170109	ಬಾಗಿಲಿಗೆ ಬಂದ ಜ್ಯೋತಿಯನ್ನು ಸ್ವಾಗತಿಸಿ
knm_01402_00467335772	ಅಂತಾರಾಷ್ಟ್ರೀಯ ಪುನಾರಚನೆ ಹಾಗೂ ಅಭಿವೃದ್ಧಿ ಬ್ಯಾಂಕು
knm_08025_01053200802	ಈ ಹಿಮರೂಪಿ ನೀರು ಪರಿಶುದ್ಧವಾದುದು.
knm_00180_01256537475	ಒಂದೇ ವಸ್ತು ಏಕಕಾಲದಲ್ಲಿ ವಿರುದ್ಧ ಧರ್ಮಗಳನ್ನು ಹೊಂದಿರದು.
knm_01114_01012015244	ಇಂಥ ಸಂಪುಟಗಳಲ್ಲಿ ಮೂರು ವಿಧಗಳುಂಟು
knm_04992_01906684282	ನಿಲ್ದಾಣದ ಪ್ರಥಮ ಘಟಕ
knm_07524_00027276009	ಇದು ಸೇರಿ
knm_00811_02098298603	ಕ್ಯಾಲ್ಸಿಯಂ ಕಾರ್ಬೊನೇಟಿನಿಂದಾದ ಅಂಡಾಂಶಗಳೂ ಸ್ಥಾನಪಲ್ಲಟದಿಂದ ವ್ಯತ್ಯಾಸಹೊಂದಿರುವ ಇತರ ಅಂಡಾಂಶಗಳೂ ಕೇಂಬ್ರಿಯನ್ ಯುಗಕ್ಕೆ ಪೂರ್ವದ ಕಾಲದಿಂದ ಆಧುನಿಕ ಕಾಲದವರೆಗಿನ ಶಿಲೆಗಳಲ್ಲಿರುವುದು ಕಂಡುಬಂದಿದೆ
knm_07221_00275728428	ಎರಡನೆಯ ಬೆಳೆಯ ಹಣ್ಣು ರೂಪುಗೊಳ್ಳಬೇಕಾದರೆ ಅನ್ಯಪರಾಗಸ್ಪರ್ಶ ಕ್ಯಾಪ್ರಿ ಅಂಜೂರದಿಂದ ಆಗಲೇಬೇಕು
knm_09140_01094100067	ಇದೇ ರೀತಿ ಮಿಕ್ಕ ಧಮನಿಗಳು.
knm_09877_01902899533	ಈ ಸಂಖ್ಯೆಗಳು ದಕ್ಷಿಣದ ಕಡೆಗೆ ಹೊರಟು ಪೂರ್ವ ಕರಾವಳಿಯ ಉದ್ದಕ್ಕೂ ಸಾಗುತ್ತಾ ಹೆಚ್ಚಾಗುತ್ತಾ ಹೋಗುತ್ತವೆ.
knm_09877_00487392934	ನೇರ ಪ್ರತ್ಯಕ್ಷ ಹೂಡಿಕೆನೇರ ಪ್ರತ್ಯಕ್ಷ ಹೂಡಿಕೆ ಎಂದರೆ ವಿದೇಶಗಳಲ್ಲಿ ಉತ್ಪಾದನೆ ಮತ್ತು ಮಾರಾಟ ಕ್ಷೇತ್ರಗಳಲ್ಲಿ ಬಂಡವಾಳವನ್ನು ತೊಡಗಿಸುವುದು
knm_09877_02128724093	ಇವುಗಳಲೆಲ್ಲ ಅಡ್ವಾನ್ಸ್ಡ್ ಡಯಗ್ನಾಸ್ಟಿಕ್ ಅಲ್ಟ್ರಾಸೌಂಡ್ ಇನ್ ಮೈಕ್ರೋಗ್ರಾವಿಟಿ ಅಧ್ಯಯನವು ಅತ್ಯಂತ ಪ್ರಮುಖವಾಗಿದೆ.
knm_08025_01029198199	ತತ್ತ್ವಶಾಸ್ತ್ರದಲ್ಲಿ ಅಂತರವಲೋಕನ ವಿಧಾನದ ಉಪಯುಕ್ತತೆ ಬಹಳ.
knm_01114_02033236402	ಇಂಗ್ಲೆಂಡಿನಲ್ಲಿ ಒಂದನೆಯ ಚಾರ್ಲ್ಸ್ ಚಕ್ರವರ್ತಿ ಮತ್ತು ಪಾರ್ಲಿಮೆಂಟ್ಗಳ ಮಧ್ಯೆ ನಡೆದ ಹೋರಾಟವನ್ನು ಅಂತರ್ಯುದ್ಧ ಎಂಬ ಹೆಸರಿನಿಂದ ಕರೆಯಲಾಗಿದೆ
knm_02894_00360614062	ಚಳ್ಳೆಹಣ್ಣಿನಂತೆ ಒಳಗಡೆ ತಿರುಳು ಬಹು ನುಣುಪು.
knm_09877_02033291934	ಸೋವಿಯತ್ ಒಕ್ಕೂಟದ ವಿಭಜನೆಯಿಂದ ಮತ್ತು ಸ್ಪೇಸ್ ರೇಸ್ ನ ಅಂತ್ಯ
knm_06230_01425098453	ಪರೋಕ್ಷ ಹೂಡಿಕೆಪರೋಕ್ಷ ಹೊಡಿಕೆ ಎಂದರೆ ವಿದೇಶಿ ಕಂಪನಿಗಳ ಶೇರುಗಳ ಮೇಲೆ ಬಂಡವಾಳವನ್ನು ತೊಡಗಿಸುವುದು ಮತ್ತು ವಿದೇಶಿಕಂಪನಿಗಳಿಗೆ ಸಾಲ ನೀಡುವುದಾಗಿದೆ
knm_06230_01736796981	ಧನ್ವಂತರಿಯೇ ಕಾಶಿರಾಜನಾಗಿದ್ದ ದಿವೋದಾಸನೆಂದೂ ಹೇಳಲಾಗಿದೆ.
knm_07524_01156790215	ಈ ಸಾಧನೆಯ ಮೂಲಕ ಅವರು ವರ್ಲ್ಡ್ ಚ್ಯಾಂಪಿಯನ್ಷಿಪ್ ಅಥ್ಲೆಟಿಕ್ಸ್ ಗೆದ್ದರು
knm_00811_01092212038	ಹೀಗೆ ಮಳೆಯಾದಾಗ ಹಳ್ಳ ತಗ್ಗುಗಳೆಲ್ಲ ನೀರಿನಿಂದ ತುಂಬಿಹೋಗಿ ಒಂದೇ ಸಮನಾಗಿ ಕಾಣುತ್ತವೆ
knm_05927_00353361786	ಅಂತಹ ವರ್ಣಚಿತ್ರದ ಕಾರ್ಯಗಳು ಮರದ ಅಂಟು ಚಿತ್ರಣವೇ ಅಥವಾ ಅಲ್ಲವೇ ಎಂಬ ಪ್ರಶ್ನೆಯನ್ನು ಹುಟ್ಟು ಹಾಕುತ್ತವೆ.
knm_02894_00814175242	ಅಂತರಿಕ್ಷದೇವತೆ ಆಳದ ಜಾಗವಿಲ್ಲ.
knm_04689_01186950517	ಕಥನಗೀತೆಗಳಲ್ಲಿ ಸಾಮಾನ್ಯವಾಗಿ ಶಿವನ ಆರಾಧನೆ ಆಗುತ್ತದೆ
knm_02533_02142359975	ಬಲಕ್ಕೆ ತಿರುಗಿ
knm_00811_01663980541	ಅಂಡವಾಯುವಿನಲ್ಲಿ ಸಿಕ್ಕಿಹಾಕಿಕೊಂಡಿರುವ ಅಂಗವೊಂದರ ಮೇಲೆ ಬೀಳುವ ಒತ್ತಡದಿಂದ ಕಂಡುಬರುವುದು
knm_04689_00985138060	ಅಂತರಿಕ್ಷದ ರೋಚಕತೆ ಹಾಗೂ ಅಲ್ಲಿ ಮಾನವನ ಸಾಧನೆಗಳನ್ನು ಕುರಿತ ಬಿಡಿಬರಹಗಳನ್ನು ಈ ಪುಸ್ತಕ ದಲ್ಲಿ ಸಂಕಲಿಸಲಾಗಿದೆ.
knm_07524_02113469460	ಇದು ಉತ್ಪಾದಕರ ಮತ್ತು ಸರಕು ವ್ಯಾಪಾರಿಗಳ ಆ ಕ್ಷಣದ ಅಗತ್ಯಗಳನ್ನು ಪುರೈಸುತ್ತದೆ.
knm_04992_01906184200	ಇವುಗಳ ಆಕಾರ
knm_07722_01342406013	ಇದನ್ನು ಸೂಕ್ಷ್ಮ ಗುರುತ್ವವೆಂದು ಹೆಚ್ಚಾಗಿ ವಿವರಿಸಲಾಗುತ್ತದೆ.
knm_07722_00262998749	ಔಪಚಾರಿಕ ಸಭೆ
knm_04526_01245533628	ಅಂಗಾಂಶ ಕೃಷಿಯ ಇನ್ನೊಂದು ಅಂಶವೆಂದರೆ ಅದರ ಸರಿಯಾದ ಕಾರ್ಯ ನಿರ್ವಹಣೆಗಾಗಿ ಪ್ರಚೋದಕ ಅಥವಾ ಸಮಂಜಸವಾದ ಅಂಶಗಳನ್ನು ಕೃತಕವಾಗಿ ಸೇರಿಸಬೇಕಾಗುತ್ತದೆ
knm_01672_00990918741	ಅಲ್ಲದೇ ವಿಮಲಾ ಕಾಲೇಜಿನಿಂದ ಪದವಿ ಶಿಕ್ಷಣ ಪಡೆದುಕೊಂಡರು.
knm_00378_00246207328	ಹೊಸ ಬಂಧಗಳು ಈ ಅಂಟಿಗೂ ಅಂಟಿಸಿದ ಪದರಕ್ಕೂ ನಡುವೆ ಏರ್ಪಡಬಹುದು ಅಥವಾ ಇದರಲ್ಲಿ ಭೌತಶಕ್ತಿಯೂ ಸೇರಿರಬಹುದು.
knm_00378_00676418443	ವ್ಯವಹಾರ ಮೊದಲಾದದ್ದು ಹತ್ತೊಂಬತ್ತು ನೂರ ನಲ್ವತ್ತೇಳರಲ್ಲಿ
knm_04705_01373032980	ತರುವಾಯ
knm_09877_00320794630	ಉತ್ಪನ್ನದ ಮೊತ್ತವನ್ನು ನಿರ್ಬಂಧಿಸುವುದು
knm_01114_01432999393	ನಿಲ್ದಾಣದ ವಿದ್ಯುತ್ ಉತ್ಪಾದನಾ ಸಾಮರ್ಥ್ಯಗಳನ್ನು ವಿಸ್ತರಿಸುವುದು
knm_02894_00436023983	ಪ್ರಪಂಚದ ಕಾರ್ಮಿಕ ಚಳವಳಿಯ ನಿರ್ದೇಶನದ ಭಾರವನ್ನು ಹೊತ್ತಿದ್ದ ಅದರ 24 ವರ್ಷಗಳ ಅವಧಿಯಲ್ಲಿ ಪ್ರಪಂಚದ ಮೂರನೆ ಒಂದು ಭಾಗದಲ್ಲಿ ಸಮಾಜವಾದಪರವಾದ ರಾಷ್ಟ್ರಗಳನ್ನು ನಿರ್ಮಾಣಮಾಡಿದೆ.
knm_03197_01940202073	ಹಿಮದ ಭಾರಕ್ಕೆ ಧ್ರುವಪ್ರದೇಶ 540 ಮೀಟರ್
knm_04689_00811117544	ಹಣ್ಣಾಗುವ ಕಾಲದಲ್ಲಿ ನೀರನ್ನು ಹೆಚ್ಚಾಗಿ ಹಾಕಿದರೆ ಹಣ್ಣು ಬಿರಿಯುತ್ತದೆ.
knm_02533_01734028958	ನೂರು ಮೀಟರ್‌ಗಳಲ್ಲಿ
knm_02533_00225151892	ದೋಣಿಯಲ್ಲಿ ಪ್ರಯಾಣಿಸಿ
knm_07524_01491518442	ಸಿಂಧೂನದಿ ಕಣಿವೆಯ
knm_04705_01515878134	ಅಂತರ್ಜಾಲ
knm_02910_01543456852	ಮೂರ್ತವಿಚಾರಗಳ ಸಣ್ಣ ಸಣ್ಣ ವಿವರಗಳನ್ನು ಹೇಳಲು ಅಂಡಮಾನಿಯಲ್ಲಿ ಸಾಧ್ಯ.
knm_05927_00924760382	ಚಳಿಗಾಲದಲ್ಲಿ ಸಾಗರ ತೀರದಲ್ಲಿ ಮಯ್ನಸ್ ಇಪ್ಪತ್ತರಿಂದ ಮಯ್ನಸ್ ಮೂವತ್ತು ಡಿಗ್ರಿ ಸೆಂಟಿಗ್ರೇಡ್
knm_02894_00817286120	ಈ ವಲಯದಲ್ಲಿ ಶಿಲೆಗಳು ಮತ್ತು ಮಣ್ಣು ಸಂತೃಪ್ತವಾಗಿರುತ್ತವೆ.
knm_09877_01999637669	ಸಹಜವಾಗಿಯೇ ಮೊದಲು ಬಳಕೆಗೆ ಬಂದವುಗಳು ಗಿಡಗಳಿಂದ ದೊರೆತ ಗೋಂದು
knm_02894_01265530050	ಆದರೆ ಅದರಲ್ಲಿ ಔಷಧ ಚಿಕಿತ್ಸೆ ಹಾಗೂ ನ್ಯಾಯ
knm_03197_01663454685	ಕೆಲವು ನಿದರ್ಶನಗಳಲ್ಲಿ
knm_04689_00636955510	ಅಂಜದೀವ್ನ ಬಳಿ ಭಾರತದ ಜಲನೌಕೆಗಳು ಹೋದಾಗ ಪೋರ್ಚುಗೀಸ್ ಪಡೆಗಳು ಶರಣಾಗತವಾದವು.
knm_06230_01433162376	ರಾವಣನ ಕಡೆಯ ಚಾರನೊಬ್ಬ ಕಪಿಸೈನ್ಯದ ಸಂಖ್ಯೆಯನ್ನು ವಿವರಿಸುತ್ತ
knm_02894_01474985271	ಘನಸ್ಥಿತಿಯಲ್ಲಿರುವ ತ್ಯಾಜ್ಯವನ್ನು ವೈಯಕ್ತಿಕ ಚೀಲದಲ್ಲಿ ಸಂಗ್ರಹಿಸಿಡಲಾಗುತ್ತದೆ.
knm_02352_00555660234	ಏಕೆಂದರೆ ಇಲ್ಲಿ ಬೆಂಕಿ ಹತ್ತಿಕೊಳ್ಳಬಹುದಾದ ಅಪಾಯ ಹೆಚ್ಚಿರುತ್ತದೆ.
knm_06230_01806597712	ಎರಡನೇ ದಿನ ಮೀಸಲು ದಿನವಾಗಿದೆ
knm_00271_00503551772	ಮನೋವಿಜ್ಞಾನದ ಅಧ್ಯಯನ ವಸ್ತುವು ಪ್ರಜ್ಞಾನುಭವ ಎಂದೂ ಅದರ ಅಧ್ಯಯನಕ್ಕೆ ಸಮರ್ಪಕವಾದ ವಿಧಾನ ಅಂತರವಲೋಕನವೆಂದೂ ಪ್ರತಿಪಾದಿಸಿದ್ದಾನೆ
knm_06681_00280419454	ಈ ಆಕಾಶ ನಡಿಗೆಗಳ ಸಹಾಯದ ಮೂಲಕ ಜೋಡಿಸಲಾದ ಇಪ್ಪತ್ತೆಂಟು ಭಾಗಗಳು
knm_06230_01940522844	ಲೇಬ್ನಿಝ್ ಅವರ ದ್ರುಷ್ಟಿಯಲ್ಲಿ ಅಂತರಿಕ್ಷವು ಕೇವಲ ವಸ್ತುಗಳ ನಡುವಿನ ಅಂತರ ಹಾಗು ಒಂದಕ್ಕೊಂದರ ಮಧ್ಯೆ ಇರುವ ದಿಕ್ಕಿನ ಸಂಬಂಧಕ್ಕೆ ಇರುವ ಹೆಸರು ಮಾತ್ರ.
knm_06788_00669460212	ವಿದೇಶಿ ವ್ಯವಹಾರದಲ್ಲಿ ಅನೇಕ ರೀತಿಯ ಸಮಸ್ಯೆಗಳು ತಲೆದೋರುತ್ತವೆ
knm_04992_00212261309	ಅಂಜೂರ ಗಾತ್ರದ ಚಿಕ್ಕ ಮರ.
knm_02894_01726972727	ತತ್ತ್ವಗಳನ್ನು ಸಂಖ್ಯಾನ ಮಾಡುವ ಪದ್ಧತಿ ಈ ನಿಕಾಯದಲ್ಲಿ ಆರಂಭವಾಗಿ ಅಭಿದಮ್ಮಪಿಟಕದಲ್ಲಿ ಬೆಳೆಯಿತು.
knm_07524_00164846493	ಅಂತಹ ಸಂಭವವು ಎದುರಾದಾಗ ಅವರು ‘ದೀಪ ದೀಪೋಳ್ಗೆ ‘ ಎಂದು ಗಟ್ಟಿಯಾಗಿ ಕೂಗುವುದರ ಮೂಲಕ ಪರಸ್ಪರ ಎಚ್ಚರಿಕೆ ಕೊಟ್ಟುಕೊಂಡು ಬೇರೆ ಬೇರೆ ಹಾದಿ ಹಿಡಿಯುತ್ತಾರೆ
knm_09877_01573400782	ಮಿರ್ ನೊಂದಿಗೆ ಸಂವಹನಕ್ಕಾಗಿ ಬಳಸಲಾಗುತ್ತಿದ್ದ ಈ ವ್ಯವಸ್ಥೆ ಸಾವಿರದೊಂಬೈನೂರ ತೊಂಬತ್ತರ ಸುಮಾರಿನಲ್ಲಿ ರಿಪೇರಿ ಮಾಡಲಾಗದ ದುಸ್ಥಿತಿ ತಲುಪಿತು.
knm_02533_01449428528	ನೇರವಾಗಿ ಮುಂದುವರಿ
knm_02910_01955051455	ಆದಾಗ್ಯೂ
knm_07918_01688118038	ಇವರಿಗೂ ವಿದ್ಯತ್ತುಗಳಿಗೂ ನಿಕಟಸಂಬಂಧವಿದೆ.
knm_04992_01769072865	ಈ ಪರ್ವತ ಸಾಲಿನಲ್ಲಿ ಜಲಜಶಿಲೆಗಳು ಹೆಚ್ಚು ಮೈದಳೆದಿವೆ.
knm_02533_00514888795	ನೀವು ನಿಮ್ಮ ಗಮ್ಯಸ್ಥಾನವನ್ನು ತಲುಪುತ್ತೀರಿ.
knm_02533_00747216531	ದಕ್ಷಿಣಕ್ಕೆ ಸಾಗಿ
knm_00811_01664144781	ನಿರ್ದಿಷ್ಟ ಲಕ್ಷಣಗಳನ್ನೊಳಗೊಂಡ ಹೊಸ ವಸ್ತುಗಳನ್ನು ಸಂಶೋಧಿಸಲಾಗುತ್ತದೆ
knm_07524_00508519707	ಈ ಸರಣಿಗಳು ಕಕ್ಷೆಯ ಸಮತಲದೆಡೆಗೆ ಸೂರ್ಯನ ದಿಕ್ಕಿನಲ್ಲಿ ತಿರುಗುತ್ತವೆ
knm_00417_01858912849	ಐವತ್ತು ಅಡಿಗಳಲ್ಲಿ
knm_00417_01860723987	ಎರಡು ಅಥವಾ ಹೆಚ್ಚು ಹೆದ್ದಾರಿಗಳು ಕೂಡುವ ಸ್ಥಳದಲ್ಲಿ ತಿರುವು ತೆಗೆದುಕೊಳ್ಳಿ
knm_02910_00690166425	ಸ್ಥಳದಲ್ಲಿಯೆ ಖರೀದಿಮಾಡುವವನಿಗೇ ನೇರವಾಗಿ ಪದಾರ್ಥಗಳನ್ನು ಒದಗಿಸುವುದು.
knm_05927_00495463758	ಕೂಡಿಸು
knm_02533_00959745677	ವೃತ್ತದಲ್ಲಿ, ನಾಲ್ಕನೇ ನಿರ್ಗಮವನ್ನು ತೆಗೆದುಕೊಳ್ಳಿ
knm_01114_01945222994	ಪರಿಸ್ಥಿತಿ ಹೀಗಿದ್ದರೂ ದ್ವಿತೀಯ ಅಂತಾರಾಷ್ಟ್ರೀಯವು ಶ್ರಮಜೀವಿಗಳ ಅನೇಕ ಹೋರಾಟಗಳಲ್ಲಿ ಜಯಗಳಿಸಿ ಕಾರ್ಮಿಕಚಳವಳಿಯನ್ನು ಪ್ರಭಾವಶಾಲಿಯನ್ನಾಗಿ ಮಾಡಿತು
knm_00417_00969167671	ಎಂಟುನೂರು ಅಡಿಗಳಲ್ಲಿ
knm_04705_00001757083	ಆದ್ದರಿಂದ ಇದನ್ನು ತಡೆಗಟ್ಟಲು ಇವುಗಳನ್ನು ಸಂಗ್ರಹಿಸಬೇಕಾಗುತ್ತದೆ.
knm_00378_00292456815	ಬ್ರಿಟನ್ನಿನ ಕಾರ್ಮಿಕ ಸಂಘಗಳು ತಮ್ಮ ಸ್ವಂತ ವ್ಯವಹಾರಗಳಲ್ಲಿ ಮಗ್ನರಾಗಿ ಅಂತಾರಾಷ್ಟ್ರೀಯದ ಕೆಲಸಗಳಿಂದ ದೂರವಾಗುತ್ತ ಬಂದುವು.
knm_02894_00249637390	ಈ ಸಿದ್ಧಾಂತವು ಒಂದು ನಿರ್ಧಿಷ್ಟ ವಸ್ತುವಿನ ಉತ್ಪಾದನಾ ಪ್ರಕ್ರಿಯೆಯ ಉತ್ಪಾದಕ ಶಕ್ತಿಯ ಮೇಲೆ ಬೆಳಕು ಚೆಲ್ಲುವ ತುಲನಾತ್ಮಕ ಪ್ರಯೋಜನ ಮತ್ತು ಸಂಪೂರ್ಣ ಪ್ರಯೋಜನ ಸಿದ್ಧಾಂತಗಳೊಂದಿಗೆ ವ್ಯತ್ಯಾಸವನ್ನು ಹೊಂದಿದೆ.
knm_00417_01511047826	ನೈಋತ್ಯಕ್ಕೆ ಸಾಗಿ
knm_05066_00305971802	ಮೂಲ
knm_07221_01041741492	ಸಸ್ಯದ ಕತ್ತರಿಸಿದ ಅಂಗವನ್ನೇ ನೇರವಾಗಿ ಪರೀಕ್ಷಿಸಬಹುದು.
knm_01672_00582282157	ಅಂತರರಾಷ್ಟ್ರೀಯ ಬಾಹ್ಯಾಕಾಶ ನಿಲ್ದಾಣದ ಸಂಶೋಧನಾ ಸಾಮರ್ಥ್ಯವನ್ನು ಟೀಕಿಸಲಾಗಿದೆ
knm_06788_00275678942	ಅಂಕೀಯ ನೀರುಗುರುತು ಮಾಡುವಿಕೆಯನ್ನು ಒಂದು ವ್ಯಾಪಕ ಶ್ರೇಣಿಯ ಅನ್ವಯಿಸುವಿಕೆಗಳಿಗೆ ಸಂಬಂಧಿಸಿದಂತೆ ಬಳಸಿಕೊಳ್ಳಬಹುದು
knm_05066_00161515695	ಅಂಗುತ್ತರವೆಂದರೆ ಇನ್ನೊಂದು ಅಂಗವೆಂದರ್ಥ
knm_00574_01986655376	ನೂರು ಅಡಿಗಳಲ್ಲಿ
knm_00574_01075384632	ರಾಜ್ಯ ಗಡಿದ್ವಾರಗಳಲ್ಲಿ ಇವರು ಇರುತ್ತಿದ್ದರಿಂದ ರಾಜ್ಯಕ್ಕೆ ಹೊರಗಿನ ಶತ್ರುಗಳಿಂದ ಯಾವ ಅಪಾಯವೂ ಬರದಂತೆ ನೋಡಿಕೊಳ್ಳುವುದು ಇವರ ಇನ್ನೊಂದು ಮುಖ್ಯ ಕರ್ತವ್ಯವಾಗಿತ್ತು.
knm_07918_01289630566	ಹೊಸ ಹೊಸ ಆವಿಸ್ಕಾರಗಳು ಹುಟ್ಟಿಕೊಳ್ಳುತ್ತಿವೆ.
knm_06230_02128681040	ಕವಿದ ಕತ್ತಲಿನಲ್ಲಿ ಕಾಡಿನ ನಡುವೆ ಕೇಕೆ ಹಾಕುತ್ತಾ ‘ದೀಪ್ ದೀಪೋಳ್ಗೆ’ ಎಂದು ಕೂಗುತ್ತಾ ಸಾಗುತ್ತಾರೆ
knm_07221_01530609133	ಸೈನಿಕನೆಲೆಗಳ ಪತ್ತೇದಾರಿಕೆಯ ಬಿಂಬಗಳ ಪ್ರಮಾಣೀಕರಣಕ್ಕೆ ಸಂಬಂಧಿಸಿದಂತೆ ಈ ಕೌಶಲವನ್ನು ಬಳಸಿಕೊಳ್ಳಲು ಸೇನೆ ಆಸಕ್ತಿಯನ್ನು ತೋರಿಸಿದೆ.
knm_04705_02053561876	ಪ್ಯಾರಿಸ್ ಕಮ್ಯೂನ್ ಚಳವಳಿಯಲ್ಲಿ ಇದು ನೇರವಾಗಿ ಭಾಗವಹಿಸದಿದ್ದರೂ ಅದರ ಮೇಲೆ ತನ್ನ ಪ್ರಭಾವವನ್ನು ಬೀರಿತು.
knm_02894_01877099786	ವಿಶ್ವ ಆರ್ಥಿಕ ವ್ಯವಸ್ಥೆಯನ್ನು ಸಬಲಗೊಳಿಸಲು ಅನುಕೂಲವಾಗಲೆಂದು ಮೊದಲ ಬಾರಿಗೆ ಅಂತರರಾಷ್ಟ್ರೀಯ ಹಣಕಾಸು ನಿಧಿ ಅನ್ನು ಸ್ಥಾಪಿಸಿದ್ದು ಪ್ರಾಮುಖ್ಯತೆ ಪಡೆಯಿತು.
knm_00271_01624098229	ಈ ಎರಡು ಶೌಚಾಲಯಗಳು ರಷ್ಯನ್ ವಿನ್ಯಾಸದಲ್ಲಿದೆ
knm_00271_01026654912	ಉತ್ತರಕ್ಕೆ ಸಾಗಿ
knm_00378_02016610486	ಅಂತರ್ಜಲದ ಬಳಕೆ ಕೆಲವು ಪ್ರದೇಶಗಳಲ್ಲಿ ಮಿತಿಮೀರಿರುವುದರಿಂದ ಅಂತರ್ಜಲದ ಮಟ್ಟವೂ ಕಡಿಮೆಯಾಗುತ್ತಿದೆ.
knm_04992_00206041123	ಎರಡನೆಯದಾಗಿ 36 ಅಧಿನಿಯಮ ಕೂಡಾ ನ್ಯಾಯಾಲಯದ ಕಾನೂನು ವ್ಯಾಪ್ತಿಯನ್ನುವಿಶೇಷವಾಗಿ ಒಡಂಬಡಿಕೆಗಳು ಮತ್ತು ಸಮಾವೇಶದ ಕುರಿತ ವಿವಾದದ ಒತ್ತಡಗಳಿಗೆ ಅಂಟಿಕೊಂಡಿರುತ್ತವೆ.
knm_02894_00525130213	ಅತ್ಯಲ್ಪ ಪ್ರಮಾಣದ ನೀರನ್ನು ಸಸ್ಯಗಳು ಹೀರಿಕೊಳ್ಳುತ್ತವೆ.
knm_05927_00315666608	ಇದು ಯಾವುದೇ ಮಧ್ಯವರ್ತೀಯ ಸರಕಿನಂತಹ ವಿಷಯವಸ್ತುವನ್ನು ಹೊಂದಿಲ್ಲ.
knm_00180_00458223984	ಇದು ಅತ್ಯಂತ ಅನೈಜವಾದದ್ದು
knm_00417_00465714115	ನೂರೈವತ್ತು ಮೀಟರ್‌ಗಳಲ್ಲಿ
knm_07524_00690086937	ಉತ್ಪಾದನಾ ವೆಚ್ಚವನ್ನು ಇಳಿಸುವ ಕಡೆಗೆ ಗಮನ ಕೊಡದೆ ಬೆಲೆಗಳನ್ನು ಏರಿಸುವುದರ ಮೂಲಕ ಲಾಭಗಳಿಸಲು ಪ್ರಯತ್ನಿಸುವುದು.
knm_06681_00693533235	ಅಂಡಮಾನಿನಲ್ಲಿ ಪ್ರತ್ಯಯಗಳು ಹೆಚ್ಚು ಬಳಕೆಯಲ್ಲಿದ್ದು
knm_05066_00627773003	ಒಮ್ಮೆ ಪ್ರಕರಣ ದಾಖಲಾದ ನಂತರ ಯಾವುದೇ ಪಕ್ಷಗಾರ ತನ್ನ ಪ್ರಕರಣದ ಯಥಾಸ್ಥಿತಿಗೆ ಮನವಿ ಸಲ್ಲಿಸುತ್ತದೆ
knm_02910_00065639422	ಪ್ರಪಂಚದ ಎರಡನೆಯ ಘೋರ ಯುದ್ಧಾನಂತರ ಅಂತರ್ಯುದ್ಧದ ವ್ಯಾಪಕತೆ ವಿಶೇಷವಾಗಿ ಹೆಚ್ಚಿತು.
knm_00378_01006988374	ಇದರಿಂದಾಗಿ ದೇಶೀಯ ಮತ್ತು ಸಣ್ಣ ಉದ್ಯಮಗಳು ಅವನತಿ ಹೊಂದುತ್ತವೆ.
knm_01114_01682998174	ಅಂಗುಲ್ ಇದು ಒರಿಸ್ಸಾ ರಾಜ್ಯದ ಅಂಗುಲ್ ಜಿಲ್ಲೆ ಯ ಮುಖ್ಯ ಕೇಂದ್ರ
knm_00180_01639396582	ಬ್ರಾಹ್ಮಿ ಲಿಪಿಯಿಂದ ಅಕ್ಷರ ಕೆಳಗೆ ತೋರಿಸಿದಂತೆ ಬೆಳೆದು ಬಂದಿದೆ.
knm_02894_01692801849	ವೆಬ್ ಬ್ರೌಸರ್ ಇಂಟರ್ಫೇಸ್
knm_00271_00968478678	ಆದರೆ ಅಂತರಾಷ್ಟ್ರೀಯ ವ್ಯವಹಾರವು ಸರಕುಗಳ ಜೊತೆಗೆ ಸೇವೆಗಳ ಕ್ರಯ ವಿಕ್ರಯಗಳಿಗೂ ಸಂಬಂಧಿಸಿದೆ
knm_05066_01206251658	ವೈಜ್ಞಾನಿಕ ಹಾಗೂ ತಾಂತ್ರಿಕ ದೈನಿಕ
knm_04526_00917969623	ಪ್ರಯೋಗಶೀಲತೆ
knm_06788_00855429368	ಇದು ಅವರಿಗೆ ಆಟವಾಡುವ ತಂತ್ರದಲ್ಲಿ ಅಮೂಲ್ಯ ಅನುಭವ ಮತ್ತು ಖ್ಯಾತಿಯನ್ನು ತಂದುಕೊಟ್ಟಿತು
knm_06984_01250691308	ಹೆಚ್ಚು ಸ್ಪಷ್ಟವಾಗಿ ಎಲ್ಲಾ ಸಾಂಪ್ರದಾಯಿಕ ಬಲಗಳೂ ಅಂತಸ್ಥ ಶಕ್ತಿಗೆ ಪೂರಕವಾಗಿರುತ್ತವೆ.
knm_00574_00813950645	ದಕ್ಷಿಣಕ್ಕೆ ಸಾಗಿ
knm_02352_01214739189	ಸಂಶೋಧನೆಯ ಪ್ರಧಾನ ಕ್ಷೇತ್ರಗಳು ಕೆಳಕಂಡಂತಿವೆ
knm_04705_00519432676	ಮೈಸೂರುರಾಜ್ಯದಲ್ಲಿ ಒಂದು ಗಿಡಕ್ಕೆ ಸುಮಾರು ೧ ಸಾವಿರ ರುಪಾಯಿ
knm_02533_00472044919	ಐವತ್ತು ಗಜಗಳಲ್ಲಿ
knm_07918_01840196883	ರಾಷ್ಟ್ರಗಳಿಗೆ ಸಾಂಸ್ಥಿಕ ತೆರಿಗೆಯನ್ನು ಕಡಿಮೆ ಮಾಡಿಕೊಳ್ಳುವಂತೆ ಸೂಚಿಸಲಾಗುತ್ತದೆ.
